date,quarter,mesghal,usd
2025-06-01,239000000,286450000,821250
2025-06-02,239000000,287110000,825750
2025-06-06,236000000,278630000,835500
2025-06-07,238000000,281560000,818500
2025-06-08,236000000,283730000,823450
2025-06-09,237000000,279950000,824650
2025-06-10,239000000,285070000,819400
2025-06-11,248000000,293460000,829000
2025-06-25,246000000,290960000,829900
2025-06-27,246000000,292040000,835900
2025-06-28,258000000,306120000,846400
2025-06-29,274000000,318010000,881800
2025-06-30,261000000,320640000,918450
2025-07-01,263000000,324540000,917400
2025-07-02,262000000,322220000,915800
2025-07-06,253000000,309210000,906500
2025-07-07,243000000,301050000,883500
2025-07-08,253000000,304930000,870700
2025-07-09,253000000,306050000,878500
2025-07-11,250000000,301650000,880150
2025-07-12,254000000,310640000,871600
2025-07-14,247500000,308510000,891000
2025-07-15,252000000,308740000,886200
2025-07-16,250000000,306690000,888500
2025-07-18,246000000,302520000,887000
2025-07-19,242000000,300730000,874800
2025-07-20,247000000,306770000,868000
2025-07-21,246000000,311040000,879400
2025-07-22,247000000,309040000,882200
2025-07-23,247000000,307910000,880900
2025-07-25,245000000,303720000,884000
2025-07-26,247000000,304430000,880800
2025-07-27,251000000,308620000,881500
2025-07-28,249000000,309510000,892350
2025-07-29,249000000,309700000,892100
2025-07-30,252000000,312370000,896100
2025-08-01,263000000,320380000,905400
2025-08-02,262000000,325410000,912450
2025-08-03,267000000,332430000,924300
2025-08-04,264000000,331350000,937500
2025-08-05,262000000,328940000,933050
2025-08-06,264000000,328990000,929050
2025-08-09,255000000,323040000,933250
2025-08-10,256000000,324540000,917600
2025-08-11,256000000,324750000,920800
2025-08-12,254000000,322670000,930500
2025-08-13,258000000,330170000,924700
2025-08-16,251000000,320520000,933050
2025-08-17,253000000,325390000,927300
2025-08-18,258000000,328620000,934250
2025-08-19,255000000,329020000,938050
2025-08-20,258000000,334930000,934400
2025-08-21,267000000,339830000,939950
2025-08-23,264000000,336360000,935600
2025-08-25,267000000,340620000,947700
2025-08-26,268000000,345110000,959100
2025-08-27,290000000,359410000,999950
2025-08-28,288000000,361450000,1000000
2025-08-30,306000000,372950000,1003700
2025-08-31,311000000,387310000,1024900
2025-09-02,300000000,379740000,1055700
2025-09-03,292000000,379530000,1032700
2025-09-04,287000000,373120000,1023900
2025-09-06,289000000,379660000,1012100
2025-09-07,285000000,381990000,1027100
2025-09-08,286000000,381430000,1025700
2025-09-09,286000000,383440000,1005950
2025-09-11,284000000,374570000,990250
2025-09-13,266000000,366470000,992000
2025-09-14,269000000,364910000,978100
2025-09-15,275000000,375930000,981000
2025-09-16,278000000,383120000,992000
2025-09-17,277000000,383050000,996000
2025-09-18,272000000,378650000,992700
2025-09-20,311000000,400010000,1006100
2025-09-21,326000000,419050000,1027100
2025-09-22,314000000,405380000,1063100
2025-09-23,320000000,417980000,1041100
2025-09-24,331000000,430820000,1047200
2025-09-25,332000000,432120000,1072850
2025-09-27,348000000,448590000,1084150
2025-09-28,335000000,440110000,1103100
2025-09-29,353000000,453140000,1111450
2025-09-30,346000000,462320000,1120600
2025-10-01,349000000,472350000,1138700
2025-10-02,358000000,480050000,1158700
2025-10-04,344000000,474490000,1170550
2025-10-05,332000000,459310000,1151300
2025-10-06,331000000,456120000,1133400
2025-10-07,339000000,473450000,1110700
2025-10-08,357000000,492540000,1138300
2025-10-09,348000000,482590000,1156150
2025-10-11,334000000,473000000,1124300
2025-10-12,333000000,469710000,1123850
2025-10-13,332000000,473640000,1118800
2025-10-14,322000000,469730000,1105800
2025-10-15,329000000,483820000,1086700
2025-10-16,336000000,488310000,1098100
2025-10-18,323000000,469820000,1100700
2025-10-19,337000000,480450000,1073050
2025-10-20,338000000,475310000,1086600
2025-10-21,334000000,472780000,1063600
2025-10-22,334000000,470460000,1078200
2025-10-23,336000000,471850000,1078450
2025-10-25,336000000,461180000,1071200
2025-10-26,335000000,465430000,1068850
2025-10-27,331100000,456790000,1079150
2025-10-28,328000000,448350000,1078550
2025-10-29,333800000,452970000,1069050
2025-10-30,333200000,449680000,1071300
2025-11-01,337900000,460400000,1073800
2025-11-02,335400000,454690000,1087200
2025-11-03,335000000,454370000,1087850
2025-11-04,334500000,453630000,1079300
2025-11-05,333000000,453590000,1082100
2025-11-06,336000000,454980000,1078700
2025-11-08,332000000,451790000,1079200
2025-11-09,333900000,453430000,1077450
2025-11-10,336000000,457750000,1078500
2025-11-11,343800000,477910000,1076400
2025-11-12,350600000,493690000,1102100
2025-11-13,364900000,500550000,1125400
2025-11-15,353200000,486280000,1121000
2025-11-17,342100000,484380000,1123200
2025-11-18,344000000,481980000,1124900
2025-11-19,349400000,491530000,1126700
2025-11-20,348200000,491580000,1134750
2025-11-22,342600000,481960000,1135100
2025-11-23,349600000,488450000,1127350
2025-11-25,353500000,491970000,1133150
2025-11-26,355000000,498030000,1134500
2025-11-27,352600000,496750000,1136150
2025-11-29,367900000,512580000,1140000
2025-12-01,373600000,529000000,1176600
2025-12-02,370300000,524950000,1191050
2025-12-03,378000000,532550000,1190450
2025-12-04,376100000,530650000,1203250
2025-12-06,389700000,539240000,1197250
2025-12-07,396400000,550500000,1221250
2025-12-08,403400000,550710000,1240450
2025-12-09,403200000,549340000,1259750
2025-12-10,405700000,549370000,1249800
2025-12-11,417000000,555810000,1246800
2025-12-13,428700000,578640000,1276850
2025-12-15,437700000,589120000,1299700
2025-12-16,435000000,586620000,1303100
2025-12-17,443000000,602550000,1300600
2025-12-18,443200000,595380000,1321900
2025-12-20,435500000,597260000,1309950
2025-12-21,437700000,591240000,1320500
2025-12-22,444200000,603850000,1310250
2025-12-23,465400000,620340000,1319650
2025-12-24,482900000,628690000,1346850
2025-12-25,479700000,621860000,1356000
2025-12-27,513800000,664790000,1344150
2025-12-28,534700000,685050000,1394950
2025-12-29,491500000,621950000,1417500
2025-12-30,501500000,639080000,1369850
2025-12-31,487100000,610820000,1397500
2026-01-01,484300000,615120000,1352050
2026-01-04,500000000,637870000,1370400
2026-01-05,515200000,679420000,1377700
2026-01-07,518800000,698650000,1470300
2026-01-08,510200000,684850000,1468050
2026-01-10,508300000,686920000,1455000
2026-01-11,508300000,686940000,1455050
2026-01-12,508300000,686940000,1455250
2026-01-13,508300000,686880000,1455350
2026-01-14,508300000,686870000,1455350
2026-01-15,508300000,686890000,1455250
2026-01-17,508300000,686940000,1455050
2026-01-18,508300000,686850000,1455200
2026-01-19,508300000,686850000,1455350
2026-01-20,508300000,686860000,1455050
2026-01-21,508300000,686850000,1455000
2026-01-22,508300000,686860000,1455100
2026-01-24,510000000,707900000,1455300
2026-01-25,520000000,713990000,1410100
2026-01-26,535000000,746970000,1421640
2026-01-27,546700000,791490000,1465700
2026-01-28,600000000,869950000,1527400
2026-01-29,617400000,892980000,1609450
2026-01-31,552900000,852050000,1599650
2026-02-01,542800000,818020000,1624300
2026-02-02,519900000,764960000,1586600
2026-02-03,563600000,833210000,1544650
2026-02-05,560000000,838490000,1609350
2026-02-07,520000000,784050000,1619350
2026-02-08,549500000,813470000,1554450
2026-02-09,551800000,838640000,1592600
2026-02-10,568300000,864320000,1613600
2026-02-12,557000000,846010000,1624550
2026-02-14,537100000,804970000,1621350
2026-02-15,556200000,830820000,1586600
2026-02-16,534900000,809920000,1598550
2026-02-17,547300000,816350000,1599900
2026-02-18,550700000,841450000,1610300
2026-02-19,564900000,861420000,1627300
2026-05-05,550000000,830010000,1818900
2026-05-06,550000000,836950000,1789200
2026-05-09,550000000,836980000,1779000
2026-05-10,540000000,830420000,1778800
2026-05-11,550000000,857970000,1804200
2026-05-12,560000000,848470000,1813900
2026-05-13,540000000,848530000,1804100
2026-05-16,535000000,840720000,1803900
2026-05-17,540000000,835030000,1799050
2026-05-18,535000000,822540000,1809200
2026-05-19,530000000,822020000,1794200
2026-05-20,535000000,832480000,1784100
2026-05-21,540000000,829530000,1799150
2026-05-23,530000000,803950000,1792100
2026-05-24,515000000,777470000,1767200
2026-05-25,530000000,790980000,1723950
2026-05-26,525000000,788960000,1733850
2026-05-28,525000000,785470000,1723950
2026-05-30,520000000,778930000,1739800
2026-05-31,520000000,785460000,1709900
2026-06-01,545000000,805030000,1715150
2026-06-02,530000000,790050000,1744950
2026-06-03,530000000,791730000,1745100
2026-06-06,525000000,779730000,1735000
2026-06-07,540000000,793040000,1747950
2026-06-08,535000000,782460000,1782150
2026-06-09,520000000,776470000,1769800
2026-06-10,520000000,776350000,1758050
2026-06-11,525000000,773970000,1787800
2026-06-13,498900000,746050000,1810050
2026-06-14,504900000,742050000,1699900
2026-06-15,476200000,702970000,1710000
2026-06-16,441600000,677980000,1604900
2026-06-17,476600000,701010000,1535050
2026-06-18,470000000,678460000,1564850
2026-06-20,487100000,697520000,1614850
2026-06-21,483500000,700020000,1602950
2026-06-22,486900000,690320000,1602900
2026-06-23,494500000,696840000,1579850
2026-06-27,504500000,707450000,1662850
2026-06-28,538800000,749020000,1667950
2026-06-29,512600000,727050000,1734000
2026-06-30,521600000,732520000,1716950
2026-07-01,523700000,747530000,1730000
2026-07-02,528600000,756410000,1749900
2026-07-05,535000000,768040000,1746100
2026-07-06,540000000,768290000,1755950
2026-07-07,535500000,768460000,1757100
2026-07-08,545000000,774650000,1759850
2026-07-09,540600000,777020000,1801000
2026-07-11,521800000,756950000,1825100
2026-07-12,520000000,764990000,1775000
2026-07-13,516400000,765960000,1802000
2026-07-14,533500000,775020000,1813150
2026-07-15,546600000,795330000,1834800
2026-07-16,536700000,790320000,1892100
2026-07-18,546700000,828950000,1912900
2026-07-19,535000000,812980000,1950000
2026-07-20,515100000,787740000,1905000
2026-07-21,525000000,798980000,1878000
2026-07-22,540000000,823180000,1900850
2026-07-23,540000000,816830000,1917950
2026-07-25,530000000,790850000,1911900
2026-07-26,525000000,774470000,1892000
2026-07-27,540000000,788820000,1863900
